PERIOD_YEAR, Equity_Share_Capital , Reserves , Borrowings , Other_Liabilities , Total , Net_Block , Investments , Other_Assets , Totals, Receivables , Inventory , Cash_Bank , No_of_Equity_Shares , New_Bonus_Shares 
Mar-16,505.64,73798.49,649587.25,38320.95,762212.33,3666.86,193633.85,564911.62,762212.33,0,0,39068.88,2528186517,0
Mar-17,512.51,91281.44,741549.89,59000.32,892344.16,3999.7,210777.11,677567.35,892344.16,0,0,49311.12,2562545717,0
Mar-18,519.02,109080.11,944817.22,48769.82,1103186.17,4008.13,238460.92,860717.12,1103186.17,0,0,123061.56,2595090267,0
Mar-19,544.66,153128,1080235.46,58897.59,1292805.71,4368.63,289445.87,998991.21,1292805.71,0,0,81817.64,2723306610,0
Mar-20,548.33,175810.38,1333041.45,71430.27,1580830.43,4775.65,389304.95,1186749.83,1580830.43,0,0,87940.11,5483286460,0
Mar-21,551.28,209258.9,1511417.62,78278.83,1799506.63,5248.35,438823.11,1355435.17,1799506.63,0,0,121272.51,5512776482,0
Mar-22,554.55,246771.62,1784969.53,90638.6,2122934.3,6432.07,449263.86,1667238.37,2122934.3,0,0,155385.73,5545540976,0
Mar-23,557.97,288879.53,2139211.91,101783.03,2530432.44,8431.35,511581.71,2010419.38,2530432.44,0,0,197147.81,5579742786,0
Mar-24,759.69,455635.56,3107502.74,466296.27,4030194.26,12603.76,1005681.63,3011908.87,4030194.26,0,0,228834.51,7596910662,0
Mar-25,765.22,517218.98,3345503.8,528929.42,4392417.42,15257.94,1186472.89,3190686.59,4392417.42,0,0,0,0,0
