PERIOD_YEAR,Sales,Expenses,Other_Income,Depreciation,Interest,Profit_before_tax,Tax,Net_profit,Operating_Profit
Dec-22,45002.11,16681.98,9120.73,0,20504.86,16936,4200.57,12698.32,28320.13
Mar-23,47548.34,17770.12,9610.5,0,22606.03,16782.69,4148.68,12594.47,29778.22
Jun-23,51168.14,18469.81,9853.15,0,25954.76,16596.72,4193.47,12370.38,32698.33
Sep-23,75039.1,45349.33,32527.52,0,41249.91,20967.38,3655,16811.41,29689.77
Dec-23,78008.17,50530.03,37007.34,0,43242.37,21243.11,3525.11,17257.87,27478.14
Mar-24,79433.61,62938.45,44957.74,0,43691.51,17761.39,-251.48,17622.38,16495.16
Jun-24,81546.2,49689.62,35450.29,0,44579.5,22727.37,5539.32,16474.85,31856.58
Sep-24,83001.72,52074.11,38455.02,0,45414.21,23968.42,5340.98,17825.91,30927.61
Dec-24,85040.17,41306.79,27153.77,0,46914.28,23972.87,5632.76,17656.61,43733.38
Mar-25,86779.34,47709.16,33489.42,0,46986.21,25573.39,6288.82,18834.88,39070.18
